year,day_type,usertype,duration_bin,count,period,bin_start
2019,Weekend,Customer,40-42,3719,Pre-Pandemic (2019),40
2019,Weekend,Customer,42-44,3443,Pre-Pandemic (2019),42
2019,Weekend,Customer,44-46,3205,Pre-Pandemic (2019),44
2019,Weekend,Customer,46-48,2940,Pre-Pandemic (2019),46
2019,Weekend,Customer,48-50,2749,Pre-Pandemic (2019),48
2019,Weekend,Customer,50-52,2554,Pre-Pandemic (2019),50
2019,Weekend,Customer,52-54,2372,Pre-Pandemic (2019),52
2019,Weekend,Customer,54-56,2267,Pre-Pandemic (2019),54
2019,Weekend,Customer,56-58,2168,Pre-Pandemic (2019),56
2019,Weekend,Customer,58-60,1999,Pre-Pandemic (2019),58
2019,Weekend,Subscriber,0-2,4185,Pre-Pandemic (2019),0
2019,Weekend,Subscriber,2-4,28519,Pre-Pandemic (2019),2
2019,Weekend,Subscriber,4-6,50794,Pre-Pandemic (2019),4
2019,Weekend,Subscriber,6-8,51268,Pre-Pandemic (2019),6
2019,Weekend,Subscriber,8-10,41606,Pre-Pandemic (2019),8
2019,Weekend,Subscriber,10-12,35009,Pre-Pandemic (2019),10
2019,Weekend,Subscriber,12-14,28681,Pre-Pandemic (2019),12
2019,Weekend,Subscriber,14-16,23605,Pre-Pandemic (2019),14
2019,Weekend,Subscriber,16-18,19535,Pre-Pandemic (2019),16
2019,Weekend,Subscriber,18-20,16052,Pre-Pandemic (2019),18
2019,Weekend,Subscriber,20-22,13383,Pre-Pandemic (2019),20
2019,Weekend,Subscriber,22-24,11146,Pre-Pandemic (2019),22
2019,Weekend,Subscriber,24-26,9216,Pre-Pandemic (2019),24
2019,Weekend,Subscriber,26-28,7502,Pre-Pandemic (2019),26
2019,Weekend,Subscriber,28-30,6272,Pre-Pandemic (2019),28
2019,Weekend,Subscriber,30-32,5197,Pre-Pandemic (2019),30
2019,Weekend,Subscriber,32-34,4245,Pre-Pandemic (2019),32
2019,Weekend,Subscriber,34-36,3741,Pre-Pandemic (2019),34
2019,Weekend,Subscriber,36-38,3106,Pre-Pandemic (2019),36
2019,Weekend,Subscriber,38-40,2607,Pre-Pandemic (2019),38
2019,Weekend,Subscriber,40-42,2199,Pre-Pandemic (2019),40
2019,Weekend,Subscriber,42-44,1763,Pre-Pandemic (2019),42
2019,Weekend,Subscriber,44-46,1346,Pre-Pandemic (2019),44
2019,Weekend,Subscriber,46-48,875,Pre-Pandemic (2019),46
2019,Weekend,Subscriber,48-50,660,Pre-Pandemic (2019),48
2019,Weekend,Subscriber,50-52,513,Pre-Pandemic (2019),50
2019,Weekend,Subscriber,52-54,486,Pre-Pandemic (2019),52
2019,Weekend,Subscriber,54-56,384,Pre-Pandemic (2019),54
2019,Weekend,Subscriber,56-58,324,Pre-Pandemic (2019),56
2019,Weekend,Subscriber,58-60,313,Pre-Pandemic (2019),58
2022,Weekday,Customer,0-2,1460,Post-Pandemic (2022),0
2022,Weekday,Customer,2-4,8579,Post-Pandemic (2022),2
2022,Weekday,Customer,4-6,25083,Post-Pandemic (2022),4
2022,Weekday,Customer,6-8,38010,Post-Pandemic (2022),6
2022,Weekday,Customer,8-10,42786,Post-Pandemic (2022),8
2022,Weekday,Customer,10-12,42864,Post-Pandemic (2022),10
2022,Weekday,Customer,12-14,40684,Post-Pandemic (2022),12
2022,Weekday,Customer,14-16,36956,Post-Pandemic (2022),14
2022,Weekday,Customer,16-18,33049,Post-Pandemic (2022),16
2022,Weekday,Customer,18-20,29400,Post-Pandemic (2022),18
2022,Weekday,Customer,20-22,26514,Post-Pandemic (2022),20
2022,Weekday,Customer,22-24,23265,Post-Pandemic (2022),22
2022,Weekday,Customer,24-26,20691,Post-Pandemic (2022),24
2022,Weekday,Customer,26-28,18552,Post-Pandemic (2022),26
2022,Weekday,Customer,28-30,16380,Post-Pandemic (2022),28
2022,Weekday,Customer,30-32,13321,Post-Pandemic (2022),30
2022,Weekday,Customer,32-34,10552,Post-Pandemic (2022),32
2022,Weekday,Customer,34-36,8686,Post-Pandemic (2022),34
2022,Weekday,Customer,36-38,7821,Post-Pandemic (2022),36
2022,Weekday,Customer,38-40,6724,Post-Pandemic (2022),38
2022,Weekday,Customer,40-42,5800,Post-Pandemic (2022),40
2022,Weekday,Customer,42-44,5280,Post-Pandemic (2022),42
2022,Weekday,Customer,44-46,4575,Post-Pandemic (2022),44
2022,Weekday,Customer,46-48,4241,Post-Pandemic (2022),46
2022,Weekday,Customer,48-50,3622,Post-Pandemic (2022),48
2022,Weekday,Customer,50-52,3458,Post-Pandemic (2022),50
2022,Weekday,Customer,52-54,3409,Post-Pandemic (2022),52
2022,Weekday,Customer,54-56,3065,Post-Pandemic (2022),54
2022,Weekday,Customer,56-58,2889,Post-Pandemic (2022),56
2022,Weekday,Customer,58-60,2571,Post-Pandemic (2022),58
2022,Weekday,Subscriber,0-2,18986,Post-Pandemic (2022),0
2022,Weekday,Subscriber,2-4,154653,Post-Pandemic (2022),2
2022,Weekday,Subscriber,4-6,289472,Post-Pandemic (2022),4
2022,Weekday,Subscriber,6-8,307507,Post-Pandemic (2022),6
2022,Weekday,Subscriber,8-10,260564,Post-Pandemic (2022),8
2022,Weekday,Subscriber,10-12,212775,Post-Pandemic (2022),10
2022,Weekday,Subscriber,12-14,173899,Post-Pandemic (2022),12
2022,Weekday,Subscriber,14-16,139403,Post-Pandemic (2022),14
2022,Weekday,Subscriber,16-18,111442,Post-Pandemic (2022),16
2022,Weekday,Subscriber,18-20,87838,Post-Pandemic (2022),18
2022,Weekday,Subscriber,20-22,70416,Post-Pandemic (2022),20
2022,Weekday,Subscriber,22-24,56388,Post-Pandemic (2022),22
2022,Weekday,Subscriber,24-26,45315,Post-Pandemic (2022),24
2022,Weekday,Subscriber,26-28,36627,Post-Pandemic (2022),26
2022,Weekday,Subscriber,28-30,29909,Post-Pandemic (2022),28
2022,Weekday,Subscriber,30-32,23781,Post-Pandemic (2022),30
2022,Weekday,Subscriber,32-34,19050,Post-Pandemic (2022),32
2022,Weekday,Subscriber,34-36,15608,Post-Pandemic (2022),34
2022,Weekday,Subscriber,36-38,12908,Post-Pandemic (2022),36
2022,Weekday,Subscriber,38-40,10613,Post-Pandemic (2022),38
2022,Weekday,Subscriber,40-42,8757,Post-Pandemic (2022),40
2022,Weekday,Subscriber,42-44,7169,Post-Pandemic (2022),42
2022,Weekday,Subscriber,44-46,5150,Post-Pandemic (2022),44
2022,Weekday,Subscriber,46-48,3326,Post-Pandemic (2022),46
2022,Weekday,Subscriber,48-50,2492,Post-Pandemic (2022),48
2022,Weekday,Subscriber,50-52,1979,Post-Pandemic (2022),50
2022,Weekday,Subscriber,52-54,1733,Post-Pandemic (2022),52
2022,Weekday,Subscriber,54-56,1417,Post-Pandemic (2022),54
2022,Weekday,Subscriber,56-58,1181,Post-Pandemic (2022),56
2022,Weekday,Subscriber,58-60,1027,Post-Pandemic (2022),58
2022,Weekend,Customer,0-2,1050,Post-Pandemic (2022),0
2022,Weekend,Customer,2-4,4085,Post-Pandemic (2022),2
